|-Pesticide|                        1               2               3               4               5              6
  184 2 Plus 2            6.600000E+05    2.100000E+01    1.000000E+01    9.000000E-01    2.000000E+01    0.000000E+00
  185 Poast               4.390000E+03    5.000000E+00    3.000000E+00    7.000000E-01    1.000000E+02    0.000000E+00
  186 Polyram             1.000000E-01    2.000000E+01    7.000000E+00    4.000000E-01    5.000000E+05    0.000000E+00
  187 Pounce              0.000000E+00    3.000000E+01    8.000000E+00    3.000000E-01    1.000000E+05    0.000000E+00
  188 Pramitol            7.200000E+02    5.000000E+02    3.000000E+01    8.000000E-01    1.500000E+02    0.000000E+00
  189 Prefar              5.600000E+00    1.200000E+02    3.000000E+01    4.000000E-01    1.000000E+03    0.000000E+00
  190 Prelude             6.200000E+05    1.000000E+03    3.000000E+01    6.000000E-01    1.000000E+06    0.000000E+00
  191 Prime               1.000000E-01    2.000000E+01    7.000000E+00    4.000000E-01    1.000000E+04    0.000000E+00
  192 Princep             6.200000E+00    6.000000E+01    5.000000E+00    4.000000E-01    1.300000E+02    0.000000E+00
  193 Probe               1.500000E+00    1.400000E+01    5.000000E+00    4.000000E-01    3.000000E+03    0.000000E+00
  194 Prowl               3.000000E-01    9.000000E+01    3.000000E+01    4.000000E-01    5.000000E+03    0.000000E+00
  195 Pursuit             2.000000E+05    9.000000E+01    2.000000E+01    9.000000E-01    1.000000E+01    0.000000E+00
  196 Pydrin              0.000000E+00    3.500000E+01    1.000000E+01    3.000000E-01    5.300000E+03    0.000000E+00
  197 Pyramin             4.000000E+02    2.100000E+01    5.000000E+00    9.000000E-01    1.200000E+02    0.000000E+00
  198 Ramrod              6.130000E+02    6.000000E+00    3.000000E+00    4.000000E-01    8.000000E+01    0.000000E+00
  199 Reflex              7.000000E+05    1.000000E+02    3.000000E+01    9.000000E-01    6.000000E+01    0.000000E+00
  200 Rescue              7.090000E+05    1.000000E+01    9.000000E+00    4.000000E-01    2.000000E+01    0.000000E+00
  201 Ridomil             8.400000E+03    7.000000E+01    3.000000E+01    7.000000E-01    5.000000E+01    0.000000E+00
  202 Ro-Neet             9.500000E+01    3.000000E+01    2.000000E+00    5.000000E-01    4.300000E+02    0.000000E+00
  203 Ronstar             7.000000E-01    6.000000E+01    2.000000E+01    5.000000E-01    3.200000E+03    0.000000E+00
  204 Roundup             9.000000E+05    4.700000E+01    2.500000E+00    6.000000E-01    2.400000E+04    0.000000E+00
  205 Rovral              1.390000E+01    1.400000E+01    5.000000E+00    4.000000E-01    7.000000E+02    0.000000E+00
  206 Royal Slo-Gro       4.000000E+05    3.000000E+01    1.000000E+01    9.000000E-01    2.000000E+01    0.000000E+00
  207 Rubigan             1.400000E+01    3.600000E+02    3.000000E+01    4.000000E-01    6.000000E+02    0.000000E+00
  208 Sancap              1.600000E+01    3.000000E+01    5.000000E+00    4.000000E-01    9.000000E+02    0.000000E+00
  209 Savey               5.000000E-01    3.000000E+01    5.000000E+00    4.000000E-01    6.200000E+03    0.000000E+00
  210 Scepter             1.600000E+05    6.000000E+01    2.000000E+01    9.000000E-01    2.000000E+01    0.000000E+00
  211 Sencor              1.220000E+03    4.000000E+01    5.000000E+00    8.000000E-01    6.000000E+01    0.000000E+00
  212 Sevin               1.200000E+02    1.000000E+01    7.000000E+00    6.000000E-01    3.000000E+02    0.000000E+00
  213 2,4,5-TP            2.500000E+00    2.000000E+01    5.000000E+00    4.000000E-01    2.600000E+03    0.000000E+00
  214 Sinbar              7.100000E+02    1.200000E+02    3.000000E+01    7.000000E-01    5.500000E+01    0.000000E+00
  215 Slug-Geta           2.400000E+01    3.000000E+01    1.000000E+01    7.000000E-01    3.000000E+02    0.000000E+00
  216 Sonalan             3.000000E-01    6.000000E+01    4.000000E+00    4.000000E-01    4.000000E+03    0.000000E+00
  217 Sonar               1.000000E+01    2.100000E+01    9.900000E+01    1.000000E+00    1.000000E+03    0.000000E+00
  218 Spectracide         6.000000E+01    4.000000E+01    4.000000E+00    9.000000E-01    1.000000E+03    0.000000E+00
  219 Spike               2.500000E+03    3.600000E+02    3.000000E+01    9.000000E-01    8.000000E+01    0.000000E+00
  220 Sprout Nip          8.900000E+01    3.000000E+01    8.000000E+00    9.000000E-01    4.000000E+02    0.000000E+00
  221 Stam                2.000000E+02    1.000000E+00    1.000000E+00    7.000000E-01    1.490000E+02    0.000000E+00
  222 Supracide           2.200000E+02    7.000000E+00    3.000000E+00    9.000000E-01    4.000000E+02    0.000000E+00
  223 Surflan             2.500000E+00    2.000000E+01    5.000000E+00    4.000000E-01    6.000000E+02    0.000000E+00
  224 Sutan               4.400000E+01    1.300000E+01    1.000000E+00    3.000000E-01    4.000000E+02    0.000000E+00
  225 Swat                1.000000E+06    1.700000E+01    5.000000E+00    9.000000E-01    7.000000E+00    0.000000E+00
  226 Tackle              2.500000E+05    1.400000E+01    5.000000E+00    9.000000E-01    1.130000E+02    0.000000E+00
  227 Talstar             1.000000E-01    2.600000E+01    7.000000E+00    4.000000E-01    2.400000E+05    0.000000E+00
  228 Tandem              1.800000E+00    2.800000E+01    8.000000E+00    4.000000E-01    5.600000E+03    0.000000E+00
  229 Tanone              2.000000E+02    4.000000E+01    2.000000E+00    6.000000E-01    2.500000E+02    0.000000E+00
  230 Tattoo              4.000000E+01    5.000000E+00    3.000000E+00    9.000000E-01    5.700000E+02    0.000000E+00
  231 TBZ                 5.000000E+01    4.030000E+02    3.000000E+01    6.000000E-01    2.500000E+03    0.000000E+00
  232 Telone              2.270000E+03    1.000000E+00    1.000000E+00    1.000000E+00    6.200000E+01    0.000000E+00
  233 Telone II           2.250000E+03    1.000000E+01    5.000000E+00    1.000000E+00    3.200000E+01    0.000000E+00
  234 Temik               6.000000E+03    4.000000E+01    1.000000E+01    1.000000E+00    4.000000E+01    0.000000E+00
  235    Temik            6.000000E+03    7.000000E+00    2.000000E+00    1.000000E+00    4.000000E+01    0.000000E+00
  236    T. Sulfoxide     6.000000E+03    3.000000E+01    7.000000E+00    1.000000E+00    3.000000E+01    0.000000E+00
  237    T. Sulfone       6.000000E+03    2.000000E+01    6.000000E+00    1.000000E+00    1.000000E+01    0.000000E+00
  238 Tenoran             2.500000E+00    6.000000E+01    1.500000E+01    4.000000E-01    3.000000E+03    0.000000E+00
  239 Terbutrex           2.200000E+01    4.200000E+01    5.000000E+00    5.000000E-01    2.000000E+03    0.000000E+00
  240 Terrachlor          4.000000E-01    2.100000E+01    4.000000E+00    4.000000E-01    5.000000E+03    0.000000E+00
  241 Terraneb            8.000000E+00    1.300000E+02    3.000000E+01    5.000000E-01    1.650000E+03    0.000000E+00
  242 Terrazole           5.000000E+01    2.000000E+01    3.000000E+00    6.000000E-01    1.000000E+03    0.000000E+00
  243 Thimet              2.200000E+01    6.000000E+01    2.000000E+00    6.000000E-01    1.000000E+03    0.000000E+00
  244 Thiodan             3.000000E-01    5.000000E+01    3.000000E+00    1.000000E-01    1.240000E+04    0.000000E+00
  245 Thiram              3.000000E+01    1.500000E+01    8.000000E+00    5.000000E-01    6.700000E+02    0.000000E+00
  246 Thistrol            2.000000E+05    1.400000E+01    7.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
